"Date","Time","Latitude","Longitude","Signal (dB)","Gain (dB)","Freq (kHz)"
7/9/2008,1:55:47,33.69416,-118.0382,80,0,78
7/9/2008,1:55:55,33.69416,-118.0382,81,0,78
7/9/2008,1:55:56,33.69415,-118.0382,82,0,78
7/9/2008,1:55:58,33.69415,-118.03818,82,0,78
7/9/2008,1:55:59,33.69415,-118.03818,80,0,78
7/9/2008,1:56:00,33.69415,-118.03818,82,0,78
7/9/2008,1:56:07,33.69414,-118.03818,82,0,78
7/9/2008,1:56:16,33.69413,-118.03818,83,0,78
7/9/2008,1:56:20,33.69413,-118.03818,81,0,78
7/9/2008,1:56:22,33.69413,-118.03817,83,0,78
7/9/2008,1:56:23,33.69412,-118.03817,84,0,78
7/9/2008,1:56:24,33.69412,-118.03817,82,0,78
7/9/2008,1:56:26,33.69411,-118.03817,80,0,78
7/9/2008,1:56:28,33.69411,-118.03817,81,0,78
7/9/2008,1:56:30,33.69411,-118.03817,82,0,78
7/9/2008,1:56:32,33.6941,-118.03815,83,0,78
7/9/2008,1:56:34,33.6941,-118.03815,82,0,78
7/9/2008,1:56:35,33.6941,-118.03815,82,0,78
7/9/2008,1:56:39,33.6941,-118.03815,87,0,78
7/9/2008,1:56:42,33.6941,-118.03815,82,0,78
7/9/2008,1:56:55,33.69406,-118.03817,82,0,78
7/9/2008,1:56:56,33.69405,-118.03817,85,0,78
7/9/2008,1:56:58,33.69405,-118.03817,80,0,78
7/9/2008,1:56:59,33.69405,-118.03818,85,0,78
7/9/2008,1:57:00,33.69404,-118.03818,83,0,78
7/9/2008,1:57:01,33.69403,-118.03818,85,0,78
7/9/2008,1:57:03,33.69403,-118.0382,83,0,78
7/9/2008,1:57:04,33.69403,-118.0382,86,0,78
7/9/2008,1:57:05,33.69402,-118.0382,85,0,78
7/9/2008,1:57:07,33.69401,-118.03821,86,0,78
7/9/2008,1:57:08,33.69401,-118.03821,83,0,78
7/9/2008,1:57:09,33.694,-118.03821,84,0,78
7/9/2008,1:57:11,33.694,-118.03822,83,0,78
7/9/2008,1:57:12,33.69399,-118.03822,82,0,78
7/9/2008,1:57:13,33.69399,-118.03822,83,0,78
7/9/2008,1:57:15,33.69398,-118.03824,83,0,78
7/9/2008,1:57:16,33.69397,-118.03824,80,0,78
7/9/2008,1:57:17,33.69397,-118.03825,83,0,78
7/9/2008,1:57:20,33.69396,-118.03826,82,0,78
7/9/2008,1:57:25,33.69394,-118.03828,87,0,78
7/9/2008,1:57:27,33.69394,-118.03828,88,0,78
7/9/2008,1:57:28,33.69394,-118.03828,89,0,78
7/9/2008,1:57:29,33.69393,-118.03828,85,0,78
7/9/2008,1:57:31,33.69392,-118.03828,89,0,78
7/9/2008,1:57:32,33.69392,-118.03828,88,0,78
7/9/2008,1:57:33,33.69392,-118.03828,88,0,78
7/9/2008,1:57:35,33.69391,-118.03831,90,0,78
7/9/2008,1:57:36,33.69391,-118.03831,88,0,78
7/9/2008,1:57:37,33.6939,-118.03831,88,0,78
7/9/2008,1:57:39,33.6939,-118.03831,87,0,78
7/9/2008,1:57:40,33.6939,-118.03831,84,0,78
7/9/2008,1:57:41,33.6939,-118.03831,82,0,78
7/9/2008,1:57:43,33.69389,-118.03831,83,0,78
7/9/2008,1:57:56,33.69386,-118.03831,83,0,78
7/9/2008,1:57:57,33.69386,-118.03831,80,0,78
7/9/2008,1:58:03,33.69385,-118.03831,81,0,78
7/9/2008,1:58:08,33.69384,-118.03831,81,0,78
7/9/2008,1:58:10,33.69384,-118.03831,80,0,78
7/9/2008,1:58:13,33.69383,-118.03831,85,0,78
7/9/2008,1:58:14,33.69383,-118.03831,85,0,78
7/9/2008,1:58:16,33.69382,-118.03831,84,0,78
7/9/2008,1:58:17,33.69382,-118.03831,87,0,78
7/9/2008,1:58:18,33.69382,-118.03831,87,0,78
7/9/2008,1:58:20,33.69381,-118.03831,86,0,78
7/9/2008,1:58:21,33.69381,-118.03831,85,0,78
7/9/2008,1:58:22,33.69381,-118.03831,87,0,78
7/9/2008,1:58:24,33.6938,-118.03831,86,0,78
7/9/2008,1:58:28,33.69379,-118.03831,86,0,78
7/9/2008,1:58:29,33.69379,-118.03831,85,0,78
7/9/2008,1:58:30,33.69379,-118.03831,88,0,78
7/9/2008,1:58:32,33.69379,-118.03831,88,0,78
7/9/2008,1:58:33,33.69379,-118.03831,88,0,78
7/9/2008,1:58:36,33.69378,-118.03831,84,0,78
7/9/2008,1:58:37,33.69378,-118.03831,88,0,78
7/9/2008,1:58:38,33.69378,-118.03831,88,0,78
7/9/2008,1:58:40,33.69377,-118.03831,86,0,78
7/9/2008,1:58:41,33.69377,-118.03831,83,0,78
7/9/2008,1:58:42,33.69377,-118.03831,81,0,78
7/9/2008,1:59:00,33.69371,-118.03833,82,0,78
7/9/2008,1:59:01,33.69371,-118.03833,81,0,78
7/9/2008,1:59:02,33.6937,-118.03833,83,0,78
7/9/2008,1:59:04,33.6937,-118.03833,83,0,78
7/9/2008,1:59:05,33.69369,-118.03833,83,0,78
7/9/2008,1:59:06,33.69369,-118.03835,83,0,78
7/9/2008,1:59:08,33.69368,-118.03835,84,0,78
7/9/2008,1:59:09,33.69368,-118.03835,83,0,78
7/9/2008,1:59:10,33.69368,-118.03837,82,0,78
7/9/2008,1:59:12,33.69366,-118.03838,83,0,78
7/9/2008,1:59:14,33.69366,-118.0384,80,0,78
7/9/2008,1:59:15,33.69365,-118.0384,83,0,78
7/9/2008,1:59:18,33.69364,-118.03841,81,0,78
7/9/2008,1:59:29,33.69362,-118.03842,81,0,78
7/9/2008,2:00:58,33.69371,-118.03854,84,0,78
7/9/2008,2:00:59,33.69371,-118.03854,87,0,78
7/9/2008,2:01:00,33.69371,-118.03854,88,0,78
7/9/2008,2:01:02,33.69371,-118.03854,85,0,78
7/9/2008,2:01:03,33.69371,-118.03854,85,0,78
7/9/2008,2:01:06,33.69372,-118.03854,81,0,78
7/9/2008,2:01:08,33.69372,-118.03852,83,0,78
7/9/2008,2:01:11,33.69373,-118.03852,85,0,78
7/9/2008,2:01:12,33.69373,-118.03852,80,0,78
7/9/2008,2:01:14,33.69373,-118.03852,80,0,78
7/9/2008,2:01:15,33.69373,-118.03852,81,0,78
7/9/2008,2:01:16,33.69373,-118.03852,82,0,78
7/9/2008,2:01:22,33.69373,-118.03851,84,0,78
7/9/2008,2:01:23,33.69373,-118.03851,83,0,78
7/9/2008,2:01:24,33.69373,-118.03851,81,0,78
7/9/2008,2:01:25,33.69374,-118.03851,83,0,78
7/9/2008,2:01:27,33.69374,-118.03849,82,0,78
7/9/2008,2:01:28,33.69374,-118.03849,80,0,78
7/9/2008,2:01:29,33.69374,-118.03849,81,0,78
7/9/2008,2:01:31,33.69374,-118.03849,84,0,78
7/9/2008,2:01:33,33.69374,-118.03848,86,0,78
7/9/2008,2:01:35,33.69374,-118.03848,85,0,78
7/9/2008,2:01:36,33.69374,-118.03848,87,0,78
7/9/2008,2:01:37,33.69375,-118.03848,87,0,78
7/9/2008,2:01:39,33.69375,-118.03848,90,0,78
7/9/2008,2:01:40,33.69375,-118.03847,87,0,78
7/9/2008,2:01:43,33.69375,-118.03847,87,0,78
7/9/2008,2:01:44,33.69375,-118.03847,83,0,78
7/9/2008,2:01:45,33.69375,-118.03845,80,0,78
7/9/2008,2:01:47,33.69375,-118.03845,83,0,78
7/9/2008,2:01:48,33.69375,-118.03845,86,0,78
7/9/2008,2:01:51,33.69375,-118.03844,81,0,78
7/9/2008,2:01:57,33.69375,-118.03842,80,0,78
7/9/2008,2:02:00,33.69375,-118.03842,84,0,78
7/9/2008,2:02:01,33.69375,-118.03842,85,0,78
7/9/2008,2:02:03,33.69375,-118.03842,85,0,78
7/9/2008,2:02:04,33.69375,-118.03842,84,0,78
7/9/2008,2:02:05,33.69375,-118.03841,87,0,78
7/9/2008,2:02:07,33.69374,-118.03841,86,0,78
7/9/2008,2:02:08,33.69374,-118.03841,88,0,78
7/9/2008,2:02:09,33.69374,-118.03841,84,0,78
7/9/2008,2:02:11,33.69374,-118.03841,80,0,78
7/9/2008,2:02:20,33.69374,-118.0384,87,0,78
7/9/2008,2:02:21,33.69374,-118.0384,89,0,78
7/9/2008,2:02:23,33.69374,-118.0384,90,0,78
7/9/2008,2:02:24,33.69374,-118.0384,89,0,78
7/9/2008,2:02:25,33.69374,-118.0384,88,0,78
7/9/2008,2:02:27,33.69374,-118.0384,89,0,78
7/9/2008,2:02:28,33.69374,-118.0384,89,0,78
