"Date","Time","Latitude","Longitude","Signal (dB)","Gain (dB)","Freq (kHz)"
9/25/2008,15:13:52,33.69408,-118.03583,69,0,84
9/25/2008,15:13:53,33.6941,-118.03582,76,0,84
9/25/2008,15:13:55,33.6941,-118.03582,69,0,84
9/25/2008,15:13:56,33.69411,-118.0358,59,0,84
9/25/2008,15:13:58,33.69412,-118.0358,70,0,84
9/25/2008,15:13:59,33.69413,-118.03579,69,0,84
9/25/2008,15:14:00,33.69413,-118.03579,71,0,84
9/25/2008,15:14:02,33.69414,-118.03577,56,0,84
9/25/2008,15:14:03,33.69415,-118.03577,66,0,84
9/25/2008,15:14:05,33.69415,-118.03576,68,0,84
9/25/2008,15:14:06,33.69416,-118.03576,66,0,84
9/25/2008,15:14:08,33.69416,-118.03575,67,0,84
9/25/2008,15:14:09,33.69416,-118.03575,62,0,84
9/25/2008,15:14:11,33.69416,-118.03575,70,0,84
9/25/2008,15:14:12,33.69416,-118.03575,69,0,84
9/25/2008,15:14:13,33.69415,-118.03573,58,0,84
9/25/2008,15:14:15,33.69415,-118.03573,70,0,84
9/25/2008,15:14:16,33.69416,-118.03572,63,0,84
9/25/2008,15:14:18,33.69416,-118.03572,62,0,84
9/25/2008,15:14:19,33.69416,-118.03571,69,0,84
9/25/2008,15:14:21,33.69416,-118.03571,62,0,84
9/25/2008,15:14:22,33.69416,-118.03571,64,0,84
9/25/2008,15:14:23,33.69416,-118.03569,57,0,84
9/25/2008,15:14:25,33.69416,-118.03569,60,0,84
9/25/2008,15:14:26,33.69417,-118.03568,59,0,84
9/25/2008,15:14:28,33.69418,-118.03568,61,0,84
9/25/2008,15:14:29,33.69419,-118.03566,56,0,84
9/25/2008,15:14:31,33.69419,-118.03565,57,0,84
9/25/2008,15:14:32,33.69419,-118.03565,57,0,84
9/25/2008,15:14:34,33.69419,-118.03565,56,0,84
9/25/2008,15:14:36,33.69421,-118.03564,59,0,84
9/25/2008,15:14:39,33.69422,-118.03561,70,0,84
9/25/2008,15:14:41,33.69423,-118.03561,76,0,84
9/25/2008,15:14:42,33.69423,-118.03561,74,0,84
9/25/2008,15:14:44,33.69423,-118.03559,58,0,84
9/25/2008,15:14:45,33.69424,-118.03559,69,0,84
9/25/2008,15:14:47,33.69425,-118.03558,63,0,84
9/25/2008,15:14:48,33.69425,-118.03558,63,0,84
9/25/2008,15:14:49,33.69426,-118.03558,60,0,84
9/25/2008,15:14:51,33.69426,-118.03558,66,0,84
9/25/2008,15:14:52,33.69427,-118.03555,72,0,84
9/25/2008,15:14:54,33.69427,-118.03555,67,0,84
9/25/2008,15:14:55,33.69427,-118.03555,72,0,84
9/25/2008,15:14:57,33.69428,-118.03555,68,0,84
9/25/2008,15:14:58,33.69428,-118.03555,63,0,84
9/25/2008,15:15:02,33.69429,-118.03551,63,0,84
9/25/2008,15:15:04,33.69429,-118.03552,61,0,84
9/25/2008,15:15:05,33.6943,-118.03551,58,0,84
9/25/2008,15:15:07,33.6943,-118.03551,58,0,84
9/25/2008,15:15:08,33.69431,-118.0355,60,0,84
9/25/2008,15:15:10,33.69431,-118.0355,64,0,84
9/25/2008,15:15:11,33.69431,-118.03548,78,0,84
9/25/2008,15:15:12,33.6943,-118.03548,72,0,84
9/25/2008,15:15:14,33.6943,-118.03548,71,0,84
9/25/2008,15:15:15,33.6943,-118.03548,66,0,84
9/25/2008,15:15:17,33.69431,-118.03548,65,0,84
9/25/2008,15:15:18,33.69431,-118.03548,60,0,84
9/25/2008,15:15:20,33.69431,-118.03548,76,0,84
9/25/2008,15:15:21,33.69432,-118.03545,75,0,84
9/25/2008,15:15:23,33.69432,-118.03545,76,0,84
9/25/2008,15:15:24,33.69433,-118.03545,73,0,84
9/25/2008,15:15:25,33.69433,-118.03545,70,0,84
9/25/2008,15:15:27,33.69434,-118.03545,73,0,84
9/25/2008,15:15:28,33.69434,-118.03543,70,0,84
9/25/2008,15:15:30,33.69434,-118.03543,76,0,84
9/25/2008,15:15:31,33.69435,-118.03542,73,0,84
9/25/2008,15:16:32,33.69443,-118.0352,61,0,84
9/25/2008,15:16:37,33.69445,-118.03518,65,0,84
9/25/2008,15:16:39,33.69445,-118.03518,63,0,84
9/25/2008,15:16:40,33.69446,-118.03518,64,0,84
9/25/2008,15:16:42,33.69446,-118.03518,60,0,84
9/25/2008,15:17:00,33.6945,-118.03526,64,0,84
9/25/2008,15:17:02,33.6945,-118.03526,57,0,84
9/25/2008,15:17:05,33.69448,-118.03526,63,0,84
9/25/2008,15:17:06,33.69448,-118.03524,60,0,84
9/25/2008,15:17:08,33.69448,-118.03522,62,0,84
9/25/2008,15:17:09,33.69446,-118.03522,59,0,84
9/25/2008,15:17:12,33.69445,-118.03522,61,0,84
9/25/2008,15:17:13,33.69445,-118.03522,60,0,84
9/25/2008,15:17:15,33.69444,-118.03522,62,0,84
9/25/2008,15:17:16,33.69443,-118.03522,60,0,84
9/25/2008,15:17:19,33.69441,-118.03522,55,0,84
9/25/2008,15:17:26,33.69436,-118.03522,72,0,84
9/25/2008,15:17:28,33.69436,-118.03522,71,0,84
9/25/2008,15:17:31,33.69434,-118.03522,66,0,84
9/25/2008,15:17:32,33.69433,-118.03522,63,0,84
9/25/2008,15:17:34,33.69432,-118.03522,65,0,84
9/25/2008,15:17:35,33.69432,-118.03522,72,0,84
9/25/2008,15:17:36,33.69431,-118.03522,61,0,84
9/25/2008,15:17:38,33.69431,-118.03522,66,0,84
9/25/2008,15:17:41,33.6943,-118.03524,70,0,84
9/25/2008,15:17:41,33.69429,-118.03524,57,0,84
9/25/2008,15:17:42,33.69428,-118.03524,72,0,84
9/25/2008,15:17:44,33.69428,-118.03524,63,0,84
9/25/2008,15:17:45,33.69427,-118.03527,66,0,84
9/25/2008,15:17:46,33.69427,-118.03527,56,0,84
9/25/2008,15:17:48,33.69427,-118.03529,57,0,84
9/25/2008,15:17:51,33.69426,-118.03529,59,0,84
9/25/2008,15:17:52,33.69426,-118.03532,69,0,84
9/25/2008,15:17:54,33.69426,-118.03532,68,0,84
9/25/2008,15:17:55,33.69425,-118.03534,62,0,84
9/25/2008,15:17:57,33.69425,-118.03535,71,0,84
9/25/2008,15:17:58,33.69424,-118.03536,64,0,84
9/25/2008,15:17:59,33.69424,-118.03538,64,0,84
9/25/2008,15:18:01,33.69424,-118.03538,64,0,84
9/25/2008,15:18:04,33.69424,-118.03541,65,0,84
9/25/2008,15:18:05,33.69425,-118.03543,75,0,84
9/25/2008,15:18:07,33.69425,-118.03543,66,0,84
9/25/2008,15:18:08,33.69426,-118.03545,72,0,84
9/25/2008,15:18:10,33.69426,-118.03545,66,0,84
9/25/2008,15:18:11,33.69426,-118.03548,83,0,84
9/25/2008,15:18:12,33.69427,-118.03548,75,0,84
9/25/2008,15:18:14,33.69427,-118.03548,79,0,84
9/25/2008,15:18:15,33.69427,-118.0355,79,0,84
9/25/2008,15:18:17,33.69427,-118.03551,80,0,84
9/25/2008,15:18:18,33.69428,-118.03551,75,0,84
9/25/2008,15:18:20,33.69428,-118.03552,67,0,84
9/25/2008,15:18:21,33.69428,-118.03552,76,0,84
9/25/2008,15:18:22,33.69428,-118.03552,69,0,84
9/25/2008,15:18:24,33.69428,-118.03555,76,0,84
9/25/2008,15:18:25,33.69428,-118.03555,61,0,84
9/25/2008,15:18:27,33.69429,-118.03555,65,0,84
9/25/2008,15:18:28,33.6943,-118.03555,61,0,84
9/25/2008,15:18:30,33.6943,-118.03555,58,0,84
9/25/2008,15:18:33,33.6943,-118.03545,60,0,84
9/25/2008,15:18:40,33.69432,-118.03545,58,0,84
9/25/2008,15:18:50,33.69437,-118.03542,54,0,84
9/25/2008,15:18:54,33.69438,-118.03541,56,0,84
9/25/2008,15:18:56,33.69438,-118.03541,57,0,84
9/25/2008,15:18:57,33.69438,-118.03541,61,0,84
9/25/2008,15:18:58,33.69437,-118.03541,58,0,84
9/25/2008,15:19:00,33.69437,-118.03541,61,0,84
9/25/2008,15:19:01,33.69438,-118.03539,55,0,84
9/25/2008,15:19:03,33.69438,-118.03541,72,0,84
9/25/2008,15:19:04,33.69439,-118.03539,68,0,84
9/25/2008,15:19:06,33.69439,-118.03539,69,0,84
9/25/2008,15:19:07,33.69439,-118.03538,78,0,84
9/25/2008,15:19:09,33.69439,-118.03538,76,0,84
9/25/2008,15:19:10,33.69439,-118.03538,65,0,84
9/25/2008,15:19:11,33.69439,-118.03538,73,0,84
9/25/2008,15:19:13,33.6944,-118.03538,70,0,84
9/25/2008,15:19:14,33.6944,-118.03536,74,0,84
9/25/2008,15:19:16,33.6944,-118.03536,60,0,84
9/25/2008,15:19:17,33.6944,-118.03536,69,0,84
9/25/2008,15:19:19,33.6944,-118.03535,81,0,84
9/25/2008,15:19:20,33.69441,-118.03536,75,0,84
9/25/2008,15:19:22,33.69442,-118.03538,70,0,84
9/25/2008,15:19:23,33.69442,-118.03538,72,0,84
9/25/2008,15:19:24,33.69442,-118.03538,76,0,84
9/25/2008,15:19:26,33.69443,-118.03538,82,0,84
9/25/2008,15:19:27,33.69444,-118.03539,81,0,84
9/25/2008,15:19:29,33.69444,-118.03539,82,0,84
9/25/2008,15:19:30,33.69445,-118.03539,86,0,84
9/25/2008,15:19:32,33.69445,-118.03539,77,0,84
9/25/2008,15:19:33,33.69446,-118.03539,75,0,84
9/25/2008,15:19:34,33.69446,-118.03538,72,0,84
9/25/2008,15:19:36,33.69447,-118.03538,69,0,84
9/25/2008,15:19:37,33.69448,-118.03538,80,0,84
9/25/2008,15:19:39,33.69448,-118.03538,63,0,84
9/25/2008,15:19:40,33.69449,-118.03536,74,0,84
9/25/2008,15:19:42,33.69449,-118.03536,55,0,84
