< 0, 0, 0 >
< 0.927141, 0, 2.21834 >
< 0.927141, 0, 2.21834 >
< 2.78144, 0, 3.32751 >
< 2.78144, 0, 4.43668 >
< 3.70859, 0, 5.54584 >
< 3.70859, 0, 5.54584 >
< 5.56288, 0, 6.65501 >
< 5.56288, 0, 7.76418 >
< 6.49003, 0, 7.76418 >
< 6.49003, 0, 8.87335 >
< 7.41717, 0, 8.87335 >
< 7.41717, 0, 8.87335 >
< 7.41717, 0, 8.87335 >
< 7.41717, 0, 8.87335 >
< 9.27146, 0, 7.76418 >
< 9.27146, 0, 7.76418 >
< 10.1986, 0, 8.87335 >
< 10.1986, 0, 8.87335 >
< 11.1258, 0, 8.87335 >
< 11.1258, 0, 8.87335 >
< 11.1258, 0, 8.87335 >
< 12.9801, 0, 8.87335 >
< 12.9801, 0, 8.87335 >
< 13.9072, 0, 9.98252 >
< 13.9072, 0, 11.0917 >
< 15.7615, 0, 12.2009 >
< 16.6886, 0, 12.2009 >
< 16.6886, 0, 12.2009 >
< 16.6886, 0, 12.2009 >
< 17.6158, 0, 14.4192 >
< 20.3972, 0, 15.5284 >
< 20.3972, 0, 16.6375 >
< 20.3972, 0, 16.6375 >
< 22.2515, 0, 16.6375 >
< 22.2515, 0, 17.7467 >
< 23.1787, 0, 18.8559 >
< 23.1787, 0, 18.8559 >
< 23.1787, 0, 19.965 >
< 23.1787, 0, 19.965 >
< 25.9601, 0, 21.0742 >
< 25.9601, 0, 21.0742 >
< 25.9601, 0, 21.0742 >
< 25.9601, 0, 22.1834 >
< 25.9601, 0, 22.1834 >
< 29.6687, 0, 23.2925 >
< 28.7415, 0, 23.2925 >
< 29.6687, 0, 24.4017 >
< 29.6687, 0, 24.4017 >
< 30.5958, 0, 25.5109 >
< 30.5958, 0, 25.5109 >
< 32.4501, 0, 25.5109 >
< 32.4501, 0, 24.4017 >
< 32.4501, 0, 24.4017 >
< 32.4501, 0, 24.4017 >
< 32.4501, 0, 25.5109 >
< 32.4501, 0, 25.5109 >
< 32.4501, 0, 25.5109 >
< 35.2316, 0, 26.6201 >
< 35.2316, 0, 26.6201 >
< 35.2316, 0, 27.7292 >
< 35.2316, 0, 27.7292 >
< 35.2316, 0, 28.8384 >
< 37.0859, 0, 28.8384 >
< 37.0859, 0, 28.8384 >
< 38.013, 0, 29.9476 >
< 58.4102, 0, 38.8209 >
< 60.2645, 0, 41.0392 >
< 60.2645, 0, 41.0392 >
< 60.2645, 0, 42.1484 >
